Date;Brent Spot Price (U.S. Dollars per Barrel);WTI Spot Price (U.S. Dollars per Barrel)
2017-11-20;61.34;56.21
2017-11-09;64.49;57.16
2017-10-27;60.15;53.92
2017-10-26;58.75;52.41
2017-10-10;56.62;50.93
2017-09-29;57.02;51.67
2017-09-08;54.55;47.44
2017-08-24;51.73;47.24
2017-08-15;49.9;47.57
2017-08-03;52.88;49.03
2017-07-21;47.47;45.78
2017-06-30;47.08;46.02
2017-06-23;44.14;42.86
2017-06-20;43.98;43.34
2017-06-09;46.64;45.82
2017-05-24;53.29;50.99
2017-05-08;46.61;46.46
2021-11-11;83.4;81.47
2021-10-29;83.1;83.5
2021-10-28;83.4;82.78
2021-10-26;85.11;85.64
2021-10-25;84.85;84.64
2021-10-22;85.43;84.53
2021-09-28;78.3;75.44
2021-09-24;77.42;74.18
2021-09-23;76.44;73.43
2021-09-15;74.84;72.59
2021-09-13;72.97;70.54
2021-09-09;71.32;68.26
2021-09-08;72.36;69.36
2021-09-07;71.52;68.49
2021-08-30;;69.28
2021-08-19;66.8;63.69
2021-08-09;69.65;66.56
2021-07-26;74.79;72.15
2021-07-23;74.86;72.24
2021-07-19;69.33;66.45
2021-07-15;74.53;71.67
2021-06-29;75.38;73.14
2021-06-28;74.78;72.98
2021-06-21;74.49;73.64
2021-06-18;73.1;71.64
2021-06-17;72.92;71.06
2021-06-15;73.38;72.06
2021-06-10;71.65;70.34
2021-06-08;71.39;70.11
2021-06-03;70.71;68.81
2021-05-19;66.88;63.28
2021-05-17;69.62;66.24
2021-05-12;69.62;65.96
2021-05-10;68.61;64.92
2021-05-04;68.91;65.72
2021-04-28;67.08;63.81
2021-04-15;66.13;63.42
2021-04-05;63.85;58.73
2021-03-16;67.95;64.82
2021-03-15;68.78;65.36
2021-03-10;67.53;64.45
2021-02-26;65.86;61.55
2021-02-24;66.85;63.21
2021-02-22;64.73;61.67
2021-02-19;62.84;59.12
2021-02-08;60.17;57.95
2021-02-03;58.61;55.67
2021-02-01;56.42;53.55
2021-01-26;55.26;52.61
2021-01-22;55.22;52.28
2021-01-15;54.8;52.25
2021-01-07;53.7;50.63
2020-12-31;51.22;48.35
2020-12-24;50.88;48.18
2020-12-18;52.17;49.04
2020-12-14;50.27;47.02
2020-12-11;50.01;46.59
2020-12-01;47.03;44.54
2020-11-30;46.84;45.2
2020-11-19;43.09;41.57
2020-10-28;37.86;37.27
2020-10-16;41.34;40.7
2020-10-15;41.61;40.84
2020-10-13;41.34;40.03
2020-08-26;45.79;43.21
2020-08-18;45.34;42.89
2020-08-13;44.87;42.26
2020-08-12;45.09;42.6
2020-08-10;44.19;41.94
2020-07-17;43.53;40.55
2020-07-10;43.27;40.56
2020-07-09;42.35;39.64
2020-07-01;42.18;39.88
2020-06-04;38.41;37.42
2020-06-02;37.72;36.88
2020-05-28;33.98;33.67
2020-05-19;33.06;32.3
2020-05-12;26.67;25.76
2020-04-16;18.69;19.82
2020-04-07;22.1;23.54
2020-04-06;22.58;26.21
2020-03-30;19.19;14.1
2020-03-25;25.62;20.75
2020-03-16;27.98;28.96
2020-03-12;31.02;31.56
2020-03-11;34.45;33.13
2020-03-05;51.29;45.9
2020-02-19;59.72;53.31
2020-02-18;57.35;52.1
2020-02-11;54.0;50.0
2020-02-06;55.18;50.94
2020-02-05;55.36;50.87
2020-02-03;54.0;50.06
2020-01-24;59.34;54.09
2020-01-23;61.26;55.51
2020-01-17;64.05;58.55
2020-01-09;66.58;59.56
2020-01-02;67.05;61.17
2019-12-25;69.26;61.17
2019-12-16;68.04;60.21
2019-12-13;67.44;60.11
2019-12-04;65.25;58.46
2019-11-25;64.67;57.79
2019-11-18;62.82;56.82
2019-11-14;62.46;56.57
2019-11-06;62.11;56.15
2019-10-29;61.05;55.34
2019-09-30;60.99;54.09
2019-09-25;62.41;56.38
2019-09-19;64.25;58.19
2019-09-16;68.42;63.1
2019-09-13;61.25;54.76
2019-09-09;63.99;57.88
2019-08-30;61.04;55.07
2019-08-27;58.44;54.99
2019-08-16;59.0;54.83
2019-08-14;57.86;55.16
2019-08-09;57.37;54.41
2019-08-07;55.03;51.14
2019-08-01;62.9;53.64
2019-07-29;62.29;56.85
2019-07-25;63.47;55.88
2019-07-23;62.28;56.58
2019-06-28;67.52;58.2
2019-06-18;63.35;53.86
2019-06-13;63.28;52.38
2019-06-10;64.31;53.33
2019-06-06;62.77;52.59
2019-05-29;70.64;58.84
2019-05-27;67.98;58.4
2019-05-24;67.98;58.4
2019-05-23;68.37;57.65
2019-05-15;73.09;62.03
2019-05-06;71.95;62.3
2019-05-03;71.95;61.98
2019-05-01;72.01;63.55
2019-04-25;74.94;65.23
2019-04-23;74.39;66.24
2019-04-22;70.71;65.66
2019-04-17;71.14;63.74
2019-04-09;71.02;64.05
2019-04-08;71.12;64.37
2019-03-20;68.35;60.12
2019-03-01;63.71;55.76
2019-02-20;66.82;56.9
2019-01-29;60.98;53.07
2019-01-24;61.09;52.94
2019-01-22;60.9;52.59
2019-01-18;62.04;53.6
2019-01-16;59.81;52.08
2019-01-04;55.64;47.76
2019-01-03;53.23;46.92
2018-12-27;51.49;44.48
2018-12-21;51.93;45.38
2018-12-17;57.59;49.8
2018-12-13;59.03;52.69
2018-12-11;59.73;51.65
2018-12-06;57.83;51.54
2018-12-03;60.17;52.98
2018-11-29;58.29;51.46
2018-11-21;61.65;54.41
2018-11-12;69.81;59.85
2018-11-08;69.29;60.71
2018-11-05;72.68;63.12
2018-10-31;74.84;65.31
2018-10-25;77.3;67.25
2018-10-12;80.71;71.41
2018-10-11;81.35;70.97
2018-10-09;85.16;74.95
2018-10-04;86.07;74.44
2018-10-01;84.94;75.37
2018-09-24;80.89;73.23
2018-09-14;77.87;68.98
2018-09-05;76.68;68.69
2018-08-27;74.41;69.97
2018-08-20;71.11;66.5
2018-08-15;68.38;65.07
2018-08-10;71.0;67.61
2018-08-09;70.55;66.81
2018-08-08;70.71;66.92
2018-08-01;72.28;68.8
2018-07-18;70.52;68.78
2018-07-10;77.8;74.11
2018-07-05;77.09;73.05
2018-06-27;76.09;77.41
2018-06-26;73.58;75.23
2018-06-08;75.11;65.77
2018-05-25;76.6;67.92
2018-05-22;80.42;72.09
2018-05-16;78.19;71.43
2018-04-23;74.54;67.61
2018-04-13;73.18;67.35
2018-04-04;66.04;63.35
2018-03-29;69.02;64.87
2018-03-22;68.98;64.25
2018-03-07;65.09;61.09
2018-02-26;67.96;63.81
2018-02-22;66.12;62.72
2018-02-07;65.74;61.91
2018-02-02;67.45;65.5
2018-01-25;71.08;65.62
2018-01-24;69.91;65.69
2018-01-17;69.19;63.92
2018-01-09;69.08;62.92
2018-01-03;67.85;61.61
2017-12-20;64.43;58.09
2017-12-19;63.69;57.49
2017-12-13;63.66;56.59
2017-11-24;63.58;58.94
2017-11-03;61.42;55.63
2017-10-24;57.84;52.32
2017-10-12;56.13;50.61
2017-10-09;55.29;49.58
2017-09-11;54.2;48.06
2017-08-25;51.87;47.65
2017-08-16;50.39;46.8
2017-08-11;51.47;48.81
2017-07-25;49.19;47.77
2017-07-18;47.92;46.4
2017-07-07;46.47;44.25
2017-06-28;46.45;44.74
2017-06-21;44.62;42.48
2017-05-04;47.53;45.55
2017-05-02;49.31;47.65
2017-04-21;49.93;49.64
2017-04-18;52.6;52.46
2017-04-17;54.79;52.62
2017-04-13;55.05;53.19
2017-04-07;54.24;52.25
2017-04-03;52.04;50.25
2017-03-23;50.17;47.0
2017-03-20;50.67;47.79
2017-03-01;55.72;53.82
2017-02-24;54.69;53.99
2017-02-23;55.82;54.48
2017-02-22;54.9;53.61
2017-02-21;56.34;54.02
2017-02-16;54.16;53.41
2017-02-09;53.98;52.99
2017-02-08;54.42;52.37
2017-01-31;55.25;52.75
2017-01-26;55.89;53.24
2017-01-25;54.34;52.14
2017-01-20;55.04;52.33
2016-12-19;53.53;52.13
2016-12-16;54.15;51.93
2016-12-13;53.28;52.99
2016-12-09;52.19;51.51
2016-11-30;47.95;49.41
2016-11-18;44.41;45.69
2016-11-15;44.15;45.86
2016-11-08;43.47;44.96
2016-11-07;42.83;44.88
2016-11-03;43.84;44.66
2016-10-28;47.78;48.72
2016-10-26;48.98;48.75
2016-10-25;49.08;49.45
2016-10-24;49.8;50.18
2016-10-18;49.81;50.3
2016-10-17;49.31;49.97
2016-10-12;49.53;50.14
2016-10-11;50.48;50.72
2016-10-10;51.54;49.76
2016-10-07;50.49;49.76
2016-10-04;48.81;48.67
2016-10-03;48.61;48.8
2016-09-30;48.24;47.72
2016-09-28;45.49;47.07
2016-09-26;46.61;45.6
2016-09-16;45.26;43.04
2016-08-24;47.56;46.29
2016-08-12;45.12;44.47
2016-08-10;42.19;41.75
2016-08-04;41.33;41.92
2016-08-02;40.0;39.5
2016-08-01;40.17;40.05
2016-07-21;44.99;43.96
2016-07-19;45.7;44.64
2016-07-13;44.67;44.87
2016-06-22;48.43;49.16
2016-06-20;48.68;49.4
2016-06-16;45.66;46.14
2016-06-13;49.36;48.89
2016-06-07;49.76;50.37
2016-05-27;49.09;49.36
2016-05-19;47.01;48.16
2016-05-16;48.49;47.72
2016-05-10;44.01;44.68
2016-05-09;42.43;43.45
2016-04-01;36.42;35.36
2016-03-30;36.75;36.91
2016-03-18;39.26;39.47
2016-02-11;28.82;26.19
2016-02-10;29.64;27.54
2016-01-27;31.83;32.32
2016-01-26;30.94;29.54
2016-01-14;28.84;31.22
2016-01-08;31.67;33.2
2016-01-07;33.57;33.29
2016-01-01;36.61;37.13
2015-12-24;37.22;37.62
2015-12-15;37.66;37.32
2015-12-11;36.99;35.65
2015-12-08;39.44;37.46
2015-12-03;42.0;41.08
2015-11-11;44.98;42.95
2015-10-28;47.6;45.93
2015-10-13;48.94;46.7
2015-10-12;50.95;47.09
2015-10-08;52.13;49.46
2015-10-07;51.66;47.86
2015-09-29;47.58;45.24
2015-09-24;47.06;44.94
2015-08-31;47.97;49.2
2015-08-03;49.49;45.25
2015-07-23;55.76;48.11
2015-07-16;57.31;50.9
2015-07-13;57.63;52.19
2015-07-06;57.19;52.48
2015-07-02;61.73;56.93
2015-07-01;61.65;56.94
2015-06-29;59.03;58.34
2015-06-25;60.24;59.59
2015-06-22;60.54;60.01
2015-06-18;61.37;60.41
2015-06-02;63.14;61.3
2015-06-01;62.87;60.24
2015-05-22;64.7;58.88
2015-05-15;64.69;59.73
2015-05-08;63.82;59.41
2015-05-06;66.22;60.93
2015-05-05;65.44;60.38
2015-05-04;64.62;58.92
2015-04-16;60.13;56.69
2015-04-15;59.32;56.25
2021-01-18;54.21;
2019-07-04;63.62;
2018-07-04;76.99;
2017-09-04;52.6;
2016-01-18;27.36;
2015-09-07;46.42;
